datetime,CAD_TCPI_Actual,CAD_TCPI_Srv_Med,CAD_TCPI_Revised,CAD_TCPI_Prior
2023-08-15 20:30:00,3.6,3.4,3.7,3.7
2023-07-18 20:30:00,3.7,3.4,3.8,3.8
2023-06-27 20:30:00,3.8,3.9,4.2,4.2
2023-05-16 20:30:00,4.2,4.1,4.4,4.4
2023-04-18 20:30:00,4.4,4.8,4.8,4.8
2023-03-21 20:30:00,4.8,4.9,5.1,5.1
2023-02-21 21:30:00,5.1,None,5.3,5.3
2023-01-17 21:30:00,5.3,None,5.4,5.3
2022-12-21 21:30:00,5.3,None,5.3,5.3
2022-11-16 21:30:00,5.3,5.3,5.2,5.2
2022-10-19 20:30:00,5.2,5.1,5.2,5.2
2022-09-20 20:30:00,5.2,5.5,5.4,5.4
2022-08-16 20:30:00,5.4,None,5.5,5.5
2022-07-20 20:30:00,5.5,5.6,5.4,5.4
2022-06-22 20:30:00,5.4,None,5.2,4.7
2022-04-20 20:30:00,4.7,None,4.4,4.3
2022-03-16 20:30:00,4.3,4.2,4.0,4.0
2022-02-16 21:30:00,4.0,None,3.7,3.7
2022-01-19 21:30:00,3.7,None,3.4,3.4
2021-12-15 21:30:00,3.4,None,3.3,3.3
2021-11-17 21:30:00,3.3,None,3.4,3.4
2021-10-20 20:30:00,3.4,None,3.3,3.3
2021-09-15 20:30:00,3.3,3.1,3.1,3.1
2021-08-18 20:30:00,3.1,None,2.6,2.6
2021-07-28 20:30:00,2.6,None,2.6,2.7
2021-06-16 20:30:00,2.7,None,2.3,2.3
2021-05-19 20:30:00,2.3,None,2.2,2.2
2021-04-21 20:30:00,2.2,None,1.9,1.9
2021-03-17 20:30:00,1.9,None,1.8,1.8
2021-02-17 21:30:00,1.8,None,1.6,1.6
2021-01-20 21:30:00,1.6,None,1.7,1.7
2020-12-16 21:30:00,1.7,None,1.8,1.8
2020-11-18 21:30:00,1.8,None,1.8,1.8
2020-10-21 20:30:00,1.8,None,1.7,1.7
2020-09-16 20:30:00,1.7,1.8,1.7,1.7
2020-08-19 20:30:00,1.7,1.8,1.8,1.8
2020-07-22 20:30:00,1.8,None,1.7,1.7
2020-06-17 20:30:00,1.7,None,1.8,1.8
2020-05-20 20:30:00,1.8,None,1.8,1.8
2020-04-22 20:30:00,1.8,None,2.0,2.0
2020-03-18 20:30:00,2.0,None,2.1,2.1
2020-02-19 21:30:00,2.1,None,2.0,2.1
2020-01-22 21:30:00,2.1,None,2.2,2.2
2019-12-18 21:30:00,2.2,None,2.1,2.1
2019-11-20 21:30:00,2.1,None,2.1,2.1
2019-10-16 20:30:00,2.1,2.1,2.1,2.1
2019-09-18 20:30:00,2.1,2.1,2.1,2.1
2019-08-21 20:30:00,2.1,2.0,2.1,2.1
2019-07-17 20:30:00,2.1,2.2,2.3,2.3
2019-06-19 20:30:00,2.3,2.0,2.0,2.0
2019-05-15 20:30:00,2.0,2.1,2.1,2.1
2019-04-17 20:30:00,2.1,1.8,2.0,1.9
2019-03-22 20:30:00,1.9,1.8,1.9,1.9
2019-02-27 21:30:00,1.9,1.9,1.9,1.9
2019-01-18 21:30:00,1.9,1.9,1.9,1.9
2018-12-19 21:30:00,1.9,2.1,2.1,2.1
2018-11-23 21:30:00,2.1,2.1,2.1,2.1
2018-10-19 20:30:00,2.1,None,2.2,2.2
2018-09-21 20:30:00,2.2,None,2.1,2.1
2018-08-17 20:30:00,2.1,None,2.0,2.0
2018-07-20 20:30:00,2.0,None,1.9,1.9
2018-06-22 20:30:00,1.9,None,2.1,2.1
2018-05-18 20:30:00,2.1,2.1,2.0,2.0
2018-04-20 20:30:00,2.0,2.1,2.1,2.1
2018-03-23 20:30:00,2.1,None,1.8,1.8
2018-02-23 21:30:00,1.8,None,1.9,1.9
2018-01-26 21:30:00,1.9,None,1.8,1.8
2017-12-21 21:30:00,1.8,1.5,1.5,1.5
2017-11-17 21:30:00,1.5,None,1.5,1.5
2017-10-20 20:30:00,1.5,None,1.4,1.4
2017-09-22 20:30:00,1.4,None,1.3,1.3
2017-08-18 20:30:00,1.3,None,1.2,1.2
2017-07-21 20:30:00,1.2,None,1.2,
