datetime,UK_AEI_Actual,UK_AEI_Srv_Med,UK_AEI_Revised,UK_AEI_Prior
2023-09-12 14:00:00,None,None,8.2,8.2
2023-08-15 14:00:00,8.2,7.3,7.2,6.9
2023-07-11 14:00:00,6.9,6.8,6.7,6.5
2023-06-13 14:00:00,6.5,6.1,6.1,5.8
2023-05-16 14:00:00,5.8,5.8,5.8,5.9
2023-04-18 14:00:00,5.9,5.1,5.9,5.7
2023-03-14 15:00:00,5.7,5.7,6.0,5.9
2023-02-14 15:00:00,5.9,6.2,6.5,6.4
2023-01-17 15:00:00,6.4,6.2,6.2,6.1
2022-12-13 15:00:00,6.1,6.2,6.0,6.0
2022-11-15 15:00:00,6.0,5.9,6.1,6.0
2022-10-11 14:00:00,6.0,5.9,5.5,5.5
2022-09-13 14:00:00,5.5,5.4,5.2,5.1
2022-08-16 14:00:00,5.1,4.5,6.4,6.2
2022-07-19 14:00:00,6.2,6.7,6.8,6.8
2022-06-14 14:00:00,6.8,7.6,7.0,7.0
2022-05-17 14:00:00,7.0,5.4,5.6,5.4
2022-04-12 14:00:00,5.4,5.4,4.8,4.8
2022-03-15 15:00:00,4.8,4.6,4.6,4.3
2022-02-15 15:00:00,4.3,3.8,4.2,4.2
2022-01-18 15:00:00,4.2,4.2,4.9,4.9
2021-12-14 15:00:00,4.9,4.6,5.9,5.8
2021-11-16 15:00:00,5.8,5.6,7.2,7.2
2021-10-12 14:00:00,7.2,7.0,8.3,8.3
2021-09-14 14:00:00,8.3,8.2,8.8,8.8
2021-08-17 14:00:00,8.8,8.6,7.4,7.3
2021-07-15 14:00:00,7.3,7.1,5.7,5.6
2021-06-15 14:00:00,5.6,4.9,4.3,4.0
2021-05-18 14:00:00,4.0,4.5,4.5,4.5
2021-04-20 14:00:00,4.5,4.8,4.8,4.8
2021-03-23 15:00:00,4.8,4.9,4.7,4.7
2021-02-23 15:00:00,4.7,4.1,3.7,3.6
2021-01-26 15:00:00,3.6,2.9,2.8,2.7
2020-12-15 15:00:00,2.7,2.2,1.3,1.3
2020-11-10 15:00:00,1.3,1.0,0.1,0.0
2020-10-13 14:00:00,0.0,-0.6,-1.0,-1.0
2020-09-15 14:00:00,-1.0,-1.3,-1.2,-1.2
2020-08-11 14:00:00,-1.2,-1.1,-0.3,-0.3
2020-07-16 14:00:00,-0.3,-0.4,1.0,1.0
2020-06-16 14:00:00,1.0,1.4,2.3,2.4
2020-05-19 14:00:00,2.4,2.6,2.8,2.8
2020-04-21 14:00:00,2.8,3.0,3.1,3.1
2020-03-17 17:30:00,3.1,3.0,2.9,2.9
2020-02-18 17:30:00,2.9,3.0,3.2,3.2
2020-01-21 17:30:00,3.2,3.1,3.2,3.2
2019-12-17 17:30:00,3.2,3.4,3.7,3.6
2019-11-12 17:30:00,3.6,3.8,3.7,3.8
2019-10-15 16:30:00,3.8,4.0,3.9,4.0
2019-09-10 16:30:00,4.0,3.7,3.8,3.7
