datetime,UK_UER_MoM_Actual,UK_UER_MoM_Srv_Med,UK_UER_MoM_Revised,UK_UER_MoM_Prior
2023-09-12 14:00:00,None,None,4.2,4.2
2023-08-15 14:00:00,4.2,4.0,4.0,4.0
2023-07-11 14:00:00,4.0,3.8,3.8,3.8
2023-06-13 14:00:00,3.8,4.0,3.9,3.9
2023-05-16 14:00:00,3.9,3.8,3.8,3.8
2023-04-18 14:00:00,3.8,3.7,3.7,3.7
2023-03-14 15:00:00,3.7,3.8,3.7,3.7
2023-02-14 15:00:00,3.7,3.7,3.7,3.7
2023-01-17 15:00:00,3.7,3.7,3.7,3.7
2022-12-13 15:00:00,3.7,3.7,3.6,3.6
2022-11-15 15:00:00,3.6,3.5,3.5,3.5
2022-10-11 14:00:00,3.5,3.6,3.6,3.6
2022-09-13 14:00:00,3.6,3.8,3.8,3.8
2022-08-16 14:00:00,3.8,3.8,3.8,3.8
2022-07-19 14:00:00,3.8,3.9,3.8,3.8
2022-06-14 14:00:00,3.8,3.6,3.7,3.7
2022-05-17 14:00:00,3.7,3.8,3.8,3.8
2022-04-12 14:00:00,3.8,3.8,3.9,3.9
2022-03-15 15:00:00,3.9,4.0,4.1,4.1
2022-02-15 15:00:00,4.1,4.1,4.1,4.1
2022-01-18 15:00:00,4.1,4.2,4.2,4.2
2021-12-14 15:00:00,4.2,4.2,4.3,4.3
2021-11-16 15:00:00,4.3,4.4,4.5,4.5
2021-10-12 14:00:00,4.5,4.5,4.6,4.6
2021-09-14 14:00:00,4.6,4.6,4.7,4.7
2021-08-17 14:00:00,4.7,4.8,4.8,4.8
2021-07-15 14:00:00,4.8,4.7,4.7,4.7
2021-06-15 14:00:00,4.7,4.7,4.8,4.8
2021-05-18 14:00:00,4.8,4.9,4.9,4.9
2021-04-20 14:00:00,4.9,5.1,5.0,5.0
2021-03-23 15:00:00,5.0,5.2,5.1,5.1
2021-02-23 15:00:00,5.1,5.1,5.0,5.0
2021-01-26 15:00:00,5.0,5.1,4.9,4.9
2020-12-15 15:00:00,4.9,5.1,4.8,4.8
2020-11-10 15:00:00,4.8,4.8,4.5,4.5
2020-10-13 14:00:00,4.5,4.3,4.1,4.1
2020-09-15 14:00:00,4.1,4.1,3.9,3.9
2020-08-11 14:00:00,3.9,4.2,3.9,3.9
2020-07-16 14:00:00,3.9,4.2,3.9,3.9
2020-06-16 14:00:00,3.9,4.7,3.9,3.9
2020-05-19 14:00:00,3.9,4.4,4.0,4.0
2020-04-21 14:00:00,4.0,3.9,3.9,3.9
2020-03-17 17:30:00,3.9,3.8,3.8,3.8
2020-02-18 17:30:00,3.8,3.8,3.8,3.8
2020-01-21 17:30:00,3.8,3.8,3.8,3.8
2019-12-17 17:30:00,3.8,3.9,3.8,3.8
2019-11-12 17:30:00,3.8,3.9,3.9,3.9
2019-10-15 16:30:00,3.9,3.8,3.8,3.8
2019-09-10 16:30:00,3.8,3.9,3.9,3.9
2019-08-13 16:30:00,3.9,3.8,3.8,3.8
2019-07-16 16:30:00,3.8,3.8,3.8,3.8
2019-06-11 16:30:00,3.8,3.8,3.8,3.8
2019-05-14 16:30:00,3.8,3.9,3.9,3.9
2019-04-16 16:30:00,3.9,3.9,3.9,3.9
2019-03-19 17:30:00,3.9,4.0,4.0,4.0
2019-02-19 17:30:00,4.0,4.0,4.0,4.0
2019-01-22 17:30:00,4.0,4.1,4.1,4.1
2018-12-11 17:30:00,4.1,4.1,4.1,4.1
2018-11-13 17:30:00,4.1,4.0,4.0,4.0
2018-10-16 16:30:00,4.0,4.0,4.0,4.0
2018-09-11 16:30:00,4.0,4.0,4.0,4.0
2018-08-14 16:30:00,4.0,4.2,4.2,4.2
2018-07-17 16:30:00,4.2,4.2,4.2,4.2
2018-06-12 16:30:00,4.2,4.2,4.2,4.2
2018-05-15 16:30:00,4.2,4.2,4.2,4.2
2018-04-17 16:30:00,4.2,4.3,4.3,4.3
2018-03-21 17:30:00,4.3,4.4,4.4,4.4
2018-02-21 17:30:00,4.4,4.3,4.3,4.3
2018-01-24 17:30:00,4.3,4.3,4.3,4.3
2017-12-13 17:30:00,4.3,4.2,4.3,4.3
2017-11-15 17:30:00,4.3,4.3,4.3,4.3
2017-10-18 16:30:00,4.3,4.3,4.3,4.3
2017-09-13 16:30:00,4.3,4.4,4.4,4.4
2017-08-16 16:30:00,4.4,4.5,4.5,4.5
2017-07-12 16:30:00,4.5,4.6,4.6,4.6
2017-06-14 16:30:00,4.6,4.6,4.6,4.6
2017-05-17 16:30:00,4.6,4.7,4.7,4.7
2017-04-12 16:30:00,4.7,4.7,4.7,4.7
2017-03-15 17:30:00,4.7,4.8,4.8,4.8
2017-02-15 17:30:00,4.8,4.8,4.8,4.8
2017-01-18 17:30:00,4.8,4.8,4.8,4.8
2016-12-14 17:30:00,4.8,4.8,4.8,4.8
2016-11-16 17:30:00,4.8,4.9,4.9,4.9
2016-10-19 16:30:00,4.9,4.9,4.9,4.9
2016-09-14 16:30:00,4.9,4.9,4.9,4.9
2016-08-17 16:30:00,4.9,4.9,4.9,4.9
2016-07-20 16:30:00,4.9,5.0,5.0,5.0
2016-06-15 16:30:00,5.0,5.1,5.1,5.1
2016-05-18 16:30:00,5.1,5.1,5.1,5.1
2016-04-20 16:30:00,5.1,5.1,5.1,5.1
2016-03-16 17:30:00,5.1,5.1,5.1,5.1
2016-02-17 17:30:00,5.1,5.0,5.1,5.1
2016-01-20 17:30:00,5.1,5.2,5.2,5.2
2015-12-16 17:30:00,5.2,5.3,5.3,5.3
2015-11-11 17:30:00,5.3,5.4,5.4,5.4
2015-10-14 16:30:00,5.4,5.5,5.5,5.5
2015-09-16 16:30:00,5.5,5.6,5.6,5.6
2015-08-12 16:30:00,5.6,5.6,5.6,5.6
2015-07-15 16:30:00,5.6,5.5,5.5,5.5
2015-06-17 16:30:00,5.5,5.5,5.5,5.5
2015-05-13 16:30:00,5.5,5.5,5.6,5.6
2015-04-17 16:30:00,5.6,5.6,5.7,5.7
2015-03-18 17:30:00,5.7,5.6,5.7,5.7
2015-02-18 17:30:00,5.7,5.8,5.8,5.8
2015-01-21 17:30:00,5.8,5.9,6.0,6.0
2014-12-17 17:30:00,6.0,5.9,6.0,6.0
2014-11-12 17:30:00,6.0,5.9,6.0,6.0
2014-10-15 16:30:00,6.0,6.1,6.2,6.2
2014-09-17 16:30:00,6.2,6.3,6.4,6.4
2014-08-13 16:30:00,6.4,6.4,6.5,6.5
2014-07-16 16:30:00,6.5,6.5,6.6,6.6
2014-06-11 16:30:00,6.6,6.7,6.8,6.8
2014-05-14 16:30:00,6.8,6.8,6.9,6.9
2014-04-16 16:30:00,6.9,7.1,7.1,7.2
2014-03-19 17:30:00,7.2,7.2,7.2,7.2
2014-02-19 17:30:00,7.2,7.1,7.1,7.1
2014-01-22 17:30:00,7.1,7.3,7.4,7.4
2013-12-18 17:30:00,7.4,7.6,7.6,7.6
2013-11-13 17:30:00,7.6,7.7,7.7,7.7
2013-10-16 16:30:00,7.7,7.7,7.7,7.7
2013-09-11 16:30:00,7.7,7.8,7.8,7.8
2013-08-14 16:30:00,7.8,7.8,7.8,7.8
2013-07-17 16:30:00,7.8,7.8,7.8,7.8
2013-06-12 16:30:00,7.8,7.8,7.8,7.8
2013-05-15 16:30:00,7.8,7.9,7.9,7.9
2013-04-17 16:30:00,7.9,7.8,7.8,7.8
2013-03-20 17:30:00,7.8,7.8,7.8,7.8
2013-02-20 17:30:00,7.8,7.7,7.7,7.7
2013-01-23 17:30:00,7.7,7.8,7.8,7.8
2012-12-12 17:30:00,7.8,7.8,7.8,7.8
2012-11-14 17:30:00,7.8,7.9,7.9,7.9
2012-10-17 16:30:00,7.9,8.1,8.1,8.1
2012-09-12 16:30:00,8.1,8.0,8.0,8.0
2012-08-15 16:30:00,8.0,8.1,8.1,8.1
2012-07-18 16:30:00,8.1,8.2,8.2,8.2
2012-06-20 16:30:00,8.2,8.2,8.2,8.2
2012-05-16 16:30:00,8.2,8.3,8.3,8.3
2012-04-18 16:30:00,8.3,8.4,8.4,8.4
2012-03-14 17:30:00,8.4,8.4,8.4,8.4
2012-02-15 17:30:00,8.4,8.4,8.4,8.4
2012-01-18 17:30:00,8.4,8.3,8.3,8.3
2011-12-14 17:30:00,8.3,8.3,8.3,8.3
2011-11-16 17:30:00,8.3,8.2,8.1,8.1
2011-10-12 16:30:00,8.1,7.9,7.9,7.9
2011-09-14 16:30:00,7.9,7.9,7.9,7.9
2011-08-17 16:30:00,7.9,7.7,7.7,7.7
2011-07-13 16:30:00,7.7,7.7,7.7,7.7
2011-06-15 16:30:00,7.7,7.7,7.7,7.7
2011-05-18 16:30:00,7.7,7.9,7.8,7.8
2011-04-13 16:30:00,7.8,8.0,8.0,8.0
2011-03-16 17:30:00,8.0,7.9,7.9,7.9
