datetime,JP_ARME_YoY_Actual,JP_ARME_YoY_Srv_Med,JP_ARME_YoY_Revised,JP_ARME_YoY_Prior
2023-09-20 07:50:00,None,None,-0.3,-0.3
2023-08-17 07:50:00,-0.3,-0.8,1.5,1.5
2023-07-20 07:50:00,1.5,2.2,0.6,0.6
2023-06-15 07:50:00,0.6,-0.8,2.6,2.6
2023-05-18 07:50:00,2.6,3.0,4.3,4.3
2023-04-20 07:50:00,4.3,2.6,6.5,6.5
2023-03-16 07:50:00,6.5,7.1,3.5,3.5
2023-02-16 07:50:00,3.5,0.8,11.5,11.5
2023-01-19 07:50:00,11.5,10.1,20.0,20.0
2022-12-15 07:50:00,20.0,19.8,25.3,25.3
2022-11-17 07:50:00,25.3,28.1,28.9,28.9
2022-10-20 07:50:00,28.9,27.1,22.0,22.1
2022-09-15 07:50:00,22.1,23.6,19.0,19.0
2022-08-17 07:50:00,19.0,18.2,19.3,19.4
2022-07-21 07:50:00,19.4,17.5,15.8,15.8
2022-06-16 07:50:00,15.8,16.4,12.5,12.5
2022-05-19 07:50:00,12.5,13.8,14.7,14.7
2022-04-20 07:50:00,14.7,17.5,19.1,19.1
2022-03-16 07:50:00,19.1,21.0,9.6,9.6
2022-02-17 07:50:00,9.6,16.5,17.5,17.5
2022-01-20 07:50:00,17.5,16.0,20.5,20.5
2021-12-16 07:50:00,20.5,21.2,9.4,9.4
2021-11-17 07:50:00,9.4,9.9,13.0,13.0
2021-10-20 07:50:00,13.0,11.0,26.2,26.2
2021-09-16 07:50:00,26.2,34.0,37.0,37.0
2021-08-18 07:50:00,37.0,39.0,48.6,48.6
2021-07-21 07:50:00,48.6,46.2,49.6,49.6
2021-06-16 07:50:00,49.6,51.3,38.0,38.0
2021-05-20 07:50:00,38.0,30.9,16.1,16.1
2021-04-19 07:50:00,16.1,11.6,-4.5,-4.5
2021-03-17 07:50:00,-4.5,-0.8,6.4,6.4
2021-02-17 07:50:00,6.4,6.6,2.0,2.0
2021-01-21 07:50:00,2.0,2.4,-4.2,-4.2
2020-12-16 07:50:00,-4.2,0.5,-0.2,-0.2
2020-11-18 07:50:00,-0.2,-4.5,-4.9,-4.9
2020-10-19 07:50:00,-4.9,-2.4,-14.8,-14.8
2020-09-16 07:50:00,-14.8,-16.1,-19.2,-19.2
2020-08-19 07:50:00,-19.2,-21.0,-26.2,-26.2
2020-07-20 07:50:00,-26.2,-24.9,-28.3,-28.3
2020-06-17 07:50:00,-28.3,-22.7,-21.9,-21.9
2020-05-21 07:50:00,-21.9,-22.7,-11.7,-11.7
2020-04-20 07:50:00,-11.7,-10.1,-1.0,-1.0
2020-03-18 07:50:00,-1.0,-4.3,-2.6,-2.6
2020-02-19 07:50:00,-2.6,-6.9,-6.3,-6.3
2020-01-23 07:50:00,-6.3,-4.2,-7.9,-7.9
2019-12-18 07:50:00,-7.9,-8.6,-9.2,-9.2
2019-11-20 07:50:00,-9.2,-7.6,-5.2,-5.2
2019-10-21 07:50:00,-5.2,-4.0,-8.2,-8.2
2019-09-18 07:50:00,-8.2,-10.9,-1.5,-1.6
2019-08-19 07:50:00,-1.6,-2.2,-6.6,-6.7
2019-07-18 07:50:00,-6.7,-5.6,-7.8,-7.8
2019-06-19 07:50:00,-7.8,-7.7,-2.4,-2.4
2019-05-22 07:50:00,-2.4,-1.8,-2.4,-2.4
2019-04-17 07:50:00,-2.4,-2.7,-1.2,-1.2
2019-03-18 07:50:00,-1.2,-0.9,-8.4,-8.4
2019-02-20 07:50:00,-8.4,-5.5,-3.9,-3.8
2019-01-23 07:50:00,-3.8,-1.9,0.1,0.1
2018-12-19 07:50:00,0.1,1.8,8.2,8.2
2018-11-19 07:50:00,8.2,9.0,-1.3,-1.2
2018-10-18 07:50:00,-1.2,1.9,6.6,6.6
2018-09-19 07:50:00,6.6,5.6,3.9,3.9
2018-08-16 07:50:00,3.9,6.3,6.7,6.7
2018-07-19 07:50:00,6.7,7.0,8.1,8.1
2018-06-18 07:50:00,8.1,7.5,7.8,7.8
2018-05-21 07:50:00,7.8,8.1,2.1,2.1
2018-04-18 07:50:00,2.1,4.7,1.8,1.8
2018-03-19 07:50:00,1.8,1.9,12.3,12.2
2018-02-19 07:50:00,12.2,10.3,9.3,9.3
2018-01-24 07:50:00,9.3,10.1,16.2,16.2
2017-12-18 07:50:00,16.2,14.6,14.0,14.0
2017-11-20 07:50:00,14.0,15.8,14.1,14.1
2017-10-19 07:50:00,14.1,14.9,18.1,18.1
2017-09-20 07:50:00,18.1,14.7,13.4,13.4
2017-08-17 07:50:00,13.4,13.6,9.7,9.7
2017-07-20 07:50:00,9.7,9.5,14.9,14.9
2017-06-19 07:50:00,14.9,16.1,7.5,7.5
2017-05-22 07:50:00,7.5,7.8,12.0,12.0
2017-04-20 07:50:00,12.0,6.7,11.3,11.3
2017-03-22 07:50:00,11.3,10.6,1.3,1.3
2017-02-20 07:50:00,1.3,4.7,5.4,5.4
2017-01-25 07:50:00,5.4,1.2,-0.4,-0.4
2016-12-19 07:50:00,-0.4,-2.0,-10.3,-10.3
2016-11-21 07:50:00,-10.3,-8.6,-6.9,-6.9
2016-10-24 07:50:00,-6.9,-10.4,-9.6,-9.6
2016-09-21 07:50:00,-9.6,-4.8,-14.0,-14.0
2016-08-18 07:50:00,-14.0,-14.0,-7.4,-7.4
2016-07-25 07:50:00,-7.4,-11.6,-11.3,-11.3
2016-06-20 07:50:00,-11.3,-10.4,-10.1,-10.1
2016-05-23 07:50:00,-10.1,-10.0,-6.8,-6.8
2016-04-20 07:50:00,-6.8,-6.9,-4.0,-4.0
2016-03-17 07:50:00,-4.0,-3.1,-12.9,-12.9
