date,feature
2023-08-15,"0,0,7.3,7.3,0,50,102,102.0,0,7.3,6.9,6.9,0,-7.3,25.7,25.7,0,4.0,4.0,4.0"
2023-07-11,"7.3,7.1,7.3,7.2,102,125,250,250.0,6.9,6.8,6.7,6.5,25.7,-8.6,-22.5,-13.6,4.0,3.8,3.8,3.8"
2023-06-13,"7.2,6.9,6.8,6.7,250,150,182,182.0,6.5,6.1,6.1,5.8,-13.6,21.4,23.4,46.7,3.8,4.0,3.9,3.9"
2023-05-16,"6.7,6.8,6.6,6.6,182,160,169,169.0,5.8,5.8,5.8,5.9,46.7,31.2,26.5,28.2,3.9,3.8,3.8,3.8"
2023-04-18,"6.6,6.2,6.6,6.5,169,50,65,65.0,5.9,5.1,5.9,5.7,28.2,10.2,-18.8,-11.2,3.8,3.7,3.7,3.7"
2023-03-14,"6.5,6.6,6.7,6.7,65,52,74,74.0,5.7,5.7,6.0,5.9,-11.2,-12.4,-30.3,-12.9,3.7,3.8,3.7,3.7"
2023-02-14,"6.7,6.5,6.5,6.4,74,40,27,27.0,5.9,6.2,6.5,6.4,-12.9,17.9,-3.2,19.7,3.7,3.7,3.7,3.7"
2023-01-17,"6.4,6.3,6.1,6.1,27,5,27,27.0,6.4,6.2,6.2,6.1,19.7,19.8,16.1,30.5,3.7,3.7,3.7,3.7"
2022-12-13,"6.1,5.9,5.8,5.7,27,-17,-52,-52.0,6.1,6.2,6.0,6.0,30.5,3.5,-6.4,3.3,3.7,3.7,3.6,3.6"
2022-11-15,"5.7,5.5,5.5,5.4,-52,-25,-109,-109.0,6.0,5.9,6.1,6.0,3.3,17.3,3.9,25.5,3.6,3.5,3.5,3.5"
2022-10-11,"5.4,5.3,5.2,5.2,-109,-155,40,40.0,6.0,5.9,5.5,5.5,25.5,4.2,1.1,6.3,3.5,3.6,3.6,3.6"
2022-09-13,"5.2,5.0,4.7,4.7,40,128,160,160.0,5.5,5.4,5.2,5.1,6.3,-13.2,-14.5,-10.5,3.6,3.8,3.8,3.8"
2022-08-16,"4.7,4.5,4.4,4.3,160,256,296,296.0,5.1,4.5,6.4,6.2,-10.5,-32.0,-26.8,-20.0,3.8,3.8,3.8,3.8"
2022-07-19,"4.3,4.3,4.2,4.2,296,170,177,177.0,6.2,6.7,6.8,6.8,-20.0,-41.2,-34.7,-19.7,3.8,3.9,3.8,3.8"
2022-06-14,"4.2,4.0,4.1,4.2,177,105,83,83.0,6.8,7.6,7.0,7.0,-19.7,-49.4,-65.5,-56.9,3.8,3.6,3.7,3.7"
2022-05-17,"4.2,4.1,4.1,4.0,83,5,10,10.0,7.0,5.4,5.6,5.4,-56.9,-42.5,-81.6,-46.9,3.7,3.8,3.8,3.8"
2022-04-12,"4.0,4.0,3.8,3.8,10,50,-12,-12.0,5.4,5.4,4.8,4.8,-46.9,-41.1,-58.0,-48.1,3.8,3.8,3.9,3.9"
2022-03-15,"3.8,3.7,3.7,3.7,-12,23,-38,-38.0,4.8,4.6,4.6,4.3,-48.1,-28.0,-67.3,-31.9,3.9,4.0,4.1,4.1"
2022-02-15,"3.7,3.6,3.8,3.8,-38,-65,60,60.0,4.3,3.8,4.2,4.2,-31.9,-28.0,-51.6,-43.3,4.1,4.1,4.1,4.1"
2022-01-18,"3.8,3.8,4.3,4.3,60,125,149,149.0,4.2,4.2,4.9,4.9,-43.3,-38.6,-95.1,-49.8,4.1,4.2,4.2,4.2"
2021-12-14,"4.3,4.0,5.0,4.9,149,228,247,247.0,4.9,4.6,5.9,5.8,-49.8,0,-14.9,-14.9,4.2,4.2,4.3,4.3"
2021-11-16,"4.9,5.0,6.0,6.0,247,185,235,235.0,5.8,5.6,7.2,7.2,-14.9,0,-51.1,-51.1,4.3,4.4,4.5,4.5"
2021-10-12,"6.0,6.0,6.8,6.8,235,243,183,183.0,7.2,7.0,8.3,8.3,-51.1,0,-58.6,-58.6,4.5,4.5,4.6,4.6"
2021-09-14,"6.8,6.8,7.3,0.0,183,178,95,0.0,8.3,8.2,8.8,0.0,-58.6,0,-48.9,0.0,4.6,4.6,4.7,0.0"
