datetime,US_Average_Weekly_Hours_Actual,US_Average_Weekly_Hours_Srv_Med,US_Average_Weekly_Hours_Revised,US_Average_Weekly_Hours_Prior,unit
2023-08-04 20:30:00,34.3,34.4,,34.4,
2023-07-07 20:30:00,34.4,34.3,,34.3,
2023-06-02 20:30:00,34.3,34.4,,34.4,
2023-05-05 20:30:00,34.4,34.4,,34.4,
2023-04-07 20:30:00,34.4,34.5,,34.5,
2023-03-10 21:30:00,34.5,34.6,34.6,34.7,
2023-02-03 21:30:00,34.7,34.3,34.4,34.3,
2023-01-06 21:30:00,34.3,34.4,,34.4,
2022-12-02 21:30:00,34.4,34.5,,34.5,
2022-11-04 20:30:00,34.5,34.5,,34.5,
2022-10-07 20:30:00,34.5,34.5,,34.5,
2022-09-02 20:30:00,34.5,34.6,,34.6,
2022-08-05 20:30:00,34.6,34.5,34.6,34.5,
2022-07-08 20:30:00,34.5,34.6,34.5,34.6,
2022-06-03 20:30:00,34.6,34.6,,34.6,
2022-05-06 20:30:00,34.6,34.7,,34.6,
2022-04-01 20:30:00,34.6,34.7,,34.7,
2022-03-04 21:30:00,34.7,34.6,34.6,34.5,
2022-02-04 21:30:00,34.5,34.7,,34.7,
2022-01-07 21:30:00,34.7,34.8,34.7,34.8,
