datetime,UK_Core_CPI_MoM_Actual,UK_Core_CPI_MoM_Srv_Med,UK_Core_CPI_MoM_Revised,UK_Core_CPI_MoM_Prior,unit
2023-08-16 14:00:00,0.3,0.2,,0.2,%
2023-07-19 14:00:00,0.2,0.4,,0.8,%
2023-06-21 14:00:00,0.8,0.6,,1.3,%
2023-05-24 14:00:00,1.3,0.7,,0.9,%
2023-04-19 14:00:00,0.9,0.6,,1.2,%
2023-03-22 15:00:00,1.2,0.8,,-0.9,%
2023-02-15 15:00:00,-0.9,-0.5,,0.5,%
2023-01-18 15:00:00,0.5,0.4,,0.3,%
2022-12-14 15:00:00,0.3,0.5,,0.7,%
2022-11-16 15:00:00,0.7,0.6,,0.6,%
2022-10-19 14:00:00,0.6,0.5,,0.8,%
2022-09-14 14:00:00,0.8,0.8,,0.3,%
2022-08-17 14:00:00,0.3,0.2,,0.4,%
2022-06-22 14:00:00,0.5,0.6,,0.7,%
2022-05-18 14:00:00,0.7,0.8,,0.9,%
2022-04-13 14:00:00,0.9,0.5,,0.8,%
2022-03-23 15:00:00,0.8,0.5,,-0.4,%
2022-02-16 15:00:00,-0.4,-0.4,,0.5,%
2022-01-19 15:00:00,0.5,0.2,,0.5,%
